session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6201c0042e7eb50ff10128b9,616b2f4348f1d88ba83e8cc6,APPROVED,2022-02-08 00:58:38.741000,2022-02-08 01:07:04.163000,505.422,35,653,1,100,2022-02-08 17:15:21.475000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201c0071843de46b5a82250,5d6466d84e9aae0001598a5a,APPROVED,2022-02-08 00:57:46.394000,2022-02-08 01:04:34.962000,408.568,35,823,0,100,2022-02-08 17:15:21.616000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201c0085b47492c57fff619,61bb392e40db417c1a138dcb,APPROVED,2022-02-08 00:57:49.218000,2022-02-08 01:06:53.647000,544.429,48,134,1,99,2022-02-08 17:15:21.746000,1AE5690E,United States,United States,Part-Time,English,United States,Female,No
6201c00cf3b3b65ece4345c4,5f989fa02b5a611b2df1a305,APPROVED,2022-02-08 00:57:51.110000,2022-02-08 17:16:52.696000,58741.586,46,1165,2,100,2022-02-08 17:16:53.647000,Manual Completion,United States,United States,Full-Time,English,United States,Female,No
6201c0176c81c122b04fa072,5c4c7a1a9446be00017e6b4a,APPROVED,2022-02-08 00:58:08.670000,2022-02-08 01:09:15.640000,666.97,46,1813,16,96,2022-02-08 17:15:21.900000,1AE5690E,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
6201c01cfa46515522ae8c30,600cd7f58edfb24a85b9d5d6,APPROVED,2022-02-08 00:58:08.127000,2022-02-08 01:07:35.776000,567.649,42,313,3,99,2022-02-08 17:15:22.033000,NOCODE,United States,United States,Full-Time,English,United States,Male,No
6201c03c8a9a0d5c52e7e779,60da18dba560960ea60a8fe5,APPROVED,2022-02-08 00:58:51.884000,2022-02-08 01:05:56.393000,424.509,31,892,0,100,2022-02-08 17:15:22.191000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201c047b51b1c694aedbdd8,610c56ddc029efbacb229c71,APPROVED,2022-02-08 00:58:54.285000,2022-02-08 17:16:54.438000,58680.153,55,548,5,98,2022-02-08 17:16:54.915000,Manual Completion,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201c0488fbf48c16479accf,60528358827e88148642cfeb,APPROVED,2022-02-08 00:58:51.105000,2022-02-08 01:04:02.298000,311.193,25,309,2,100,2022-02-08 17:15:22.371000,1AE5690E,United States,United States,Part-Time,English,United States,Female,No
6201c0489211c0e11a6716fd,615dd0b0a024ba4f4b4f7c24,APPROVED,2022-02-08 00:58:50.350000,2022-02-08 01:12:59.794000,849.444,43,425,0,100,2022-02-08 17:15:22.486000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
